student_id,week,attendance_rate
S1,W01,0.829
S1,W02,0.872
S1,W03,0.845
S1,W04,0.854
S1,W05,0.832
S1,W06,0.842
S1,W07,0.860
S1,W08,0.828
S1,W09,0.874
S1,W10,0.861
S1,W11,0.885
S1,W12,0.828
S1,W13,0.837
S1,W14,0.873
S1,W15,0.889
S1,W16,0.826
S1,W17,0.847
S1,W18,0.863
S1,W19,0.870
S1,W20,0.868
S1,W21,0.861
S1,W22,0.855
S1,W23,0.855
S1,W24,0.812
S1,W25,0.839
S1,W26,0.835
S2,W01,0.889
S2,W02,0.855
S2,W03,0.827
S2,W04,0.870
S2,W05,0.850
S2,W06,0.848
S2,W07,0.820
S2,W08,0.850
S2,W09,0.862
S2,W10,0.817
S2,W11,0.853
S2,W12,0.883
S2,W13,0.855
S2,W14,0.872
S2,W15,0.885
S2,W16,0.837
S2,W17,0.895
S2,W18,0.832
S2,W19,0.813
S2,W20,0.840
S2,W21,0.867
S2,W22,0.859
S2,W23,0.873
S2,W24,0.838
S2,W25,0.847
S2,W26,0.861
S3,W01,0.891
S3,W02,0.842
S3,W03,0.822
S3,W04,0.902
S3,W05,0.870
S3,W06,0.845
S3,W07,0.882
S3,W08,0.850
S3,W09,0.903
S3,W10,0.820
S3,W11,0.819
S3,W12,0.838
S3,W13,0.870
S3,W14,0.822
S3,W15,0.820
S3,W16,0.878
S3,W17,0.852
S3,W18,0.908
S3,W19,0.825
S3,W20,0.909
S3,W21,0.871
S3,W22,0.901
S3,W23,0.900
S3,W24,0.829
S3,W25,0.847
S3,W26,0.861
S4,W01,0.892
S4,W02,0.841
S4,W03,0.856
S4,W04,0.867
S4,W05,0.830
S4,W06,0.894
S4,W07,0.903
S4,W08,0.821
S4,W09,0.858
S4,W10,0.824
S4,W11,0.884
S4,W12,0.893
S4,W13,0.879
S4,W14,0.906
S4,W15,0.894
S4,W16,0.848
S4,W17,0.831
S4,W18,0.816
S4,W19,0.836
S4,W20,0.900
S4,W21,0.875
S4,W22,0.868
S4,W23,0.868
S4,W24,0.863
S4,W25,0.857
S4,W26,0.829
S5,W01,0.843
S5,W02,0.888
S5,W03,0.873
S5,W04,0.897
S5,W05,0.837
S5,W06,0.846
S5,W07,0.891
S5,W08,0.862
S5,W09,0.887
S5,W10,0.897
S5,W11,0.820
S5,W12,0.906
S5,W13,0.859
S5,W14,0.814
S5,W15,0.871
S5,W16,0.868
S5,W17,0.885
S5,W18,0.892
S5,W19,0.846
S5,W20,0.826
S5,W21,0.860
S5,W22,0.909
S5,W23,0.871
S5,W24,0.891
S5,W25,0.902
S5,W26,0.894
S6,W01,0.828
S6,W02,0.870
S6,W03,0.841
S6,W04,0.871
S6,W05,0.830
S6,W06,0.853
S6,W07,0.902
S6,W08,0.885
S6,W09,0.871
S6,W10,0.891
S6,W11,0.861
S6,W12,0.874
S6,W13,0.885
S6,W14,0.862
S6,W15,0.891
S6,W16,0.859
S6,W17,0.864
S6,W18,0.854
S6,W19,0.826
S6,W20,0.852
S6,W21,0.856
S6,W22,0.829
S6,W23,0.890
S6,W24,0.866
S6,W25,0.847
S6,W26,0.893
S7,W01,0.893
S7,W02,0.867
S7,W03,0.868
S7,W04,0.860
S7,W05,0.840
S7,W06,0.839
S7,W07,0.834
S7,W08,0.843
S7,W09,0.855
S7,W10,0.894
S7,W11,0.844
S7,W12,0.853
S7,W13,0.895
S7,W14,0.829
S7,W15,0.889
S7,W16,0.864
S7,W17,0.857
S7,W18,0.821
S7,W19,0.843
S7,W20,0.820
S7,W21,0.902
S7,W22,0.832
S7,W23,0.835
S7,W24,0.810
S7,W25,0.909
S7,W26,0.848
S8,W01,0.873
S8,W02,0.865
S8,W03,0.843
S8,W04,0.814
S8,W05,0.832
S8,W06,0.899
S8,W07,0.832
S8,W08,0.816
S8,W09,0.906
S8,W10,0.903
S8,W11,0.882
S8,W12,0.888
S8,W13,0.895
S8,W14,0.844
S8,W15,0.875
S8,W16,0.854
S8,W17,0.883
S8,W18,0.891
S8,W19,0.883
S8,W20,0.869
S8,W21,0.812
S8,W22,0.903
S8,W23,0.812
S8,W24,0.900
S8,W25,0.821
S8,W26,0.868
S9,W01,0.910
S9,W02,0.828
S9,W03,0.852
S9,W04,0.882
S9,W05,0.845
S9,W06,0.884
S9,W07,0.875
S9,W08,0.812
S9,W09,0.890
S9,W10,0.892
S9,W11,0.880
S9,W12,0.872
S9,W13,0.853
S9,W14,0.842
S9,W15,0.889
S9,W16,0.813
S9,W17,0.824
S9,W18,0.866
S9,W19,0.872
S9,W20,0.906
S9,W21,0.884
S9,W22,0.834
S9,W23,0.811
S9,W24,0.847
S9,W25,0.894
S9,W26,0.822
S10,W01,0.844
S10,W02,0.891
S10,W03,0.906
S10,W04,0.817
S10,W05,0.900
S10,W06,0.909
S10,W07,0.873
S10,W08,0.881
S10,W09,0.888
S10,W10,0.875
S10,W11,0.845
S10,W12,0.854
S10,W13,0.861
S10,W14,0.810
S10,W15,0.883
S10,W16,0.844
S10,W17,0.899
S10,W18,0.830
S10,W19,0.839
S10,W20,0.852
S10,W21,0.836
S10,W22,0.899
S10,W23,0.816
S10,W24,0.884
S10,W25,0.889
S10,W26,0.837
S11,W01,0.843
S11,W02,0.862
S11,W03,0.858
S11,W04,0.849
S11,W05,0.824
S11,W06,0.871
S11,W07,0.907
S11,W08,0.856
S11,W09,0.879
S11,W10,0.872
S11,W11,0.887
S11,W12,0.904
S11,W13,0.847
S11,W14,0.842
S11,W15,0.862
S11,W16,0.907
S11,W17,0.907
S11,W18,0.849
S11,W19,0.846
S11,W20,0.898
S11,W21,0.905
S11,W22,0.846
S11,W23,0.851
S11,W24,0.866
S11,W25,0.812
S11,W26,0.866
S12,W01,0.900
S12,W02,0.903
S12,W03,0.848
S12,W04,0.840
S12,W05,0.888
S12,W06,0.896
S12,W07,0.880
S12,W08,0.874
S12,W09,0.868
S12,W10,0.816
S12,W11,0.812
S12,W12,0.883
S12,W13,0.895
S12,W14,0.888
S12,W15,0.880
S12,W16,0.876
S12,W17,0.811
S12,W18,0.869
S12,W19,0.855
S12,W20,0.882
S12,W21,0.863
S12,W22,0.886
S12,W23,0.900
S12,W24,0.835
S12,W25,0.897
S12,W26,0.888
S13,W01,0.868
