session_id,student_id,date,scheduled,attended,conflict_with_class
CS1,S1,2026-02-111,1,1,0
CS2,S2,2026-03-112,1,1,0
CS3,S3,2026-04-113,1,1,0
CS4,S4,2026-05-114,1,1,0
CS5,S5,2026-06-115,1,1,0
CS6,S6,2026-01-116,1,1,0
CS7,S7,2026-02-117,1,1,0
CS8,S8,2026-03-118,1,1,0
CS9,S9,2026-04-119,1,1,0
CS10,S10,2026-05-110,1,1,0
CS11,S11,2026-06-111,1,1,0
CS12,S12,2026-01-112,1,1,0
CS13,S13,2026-02-113,1,1,0
CS14,S14,2026-03-114,1,1,0
CS15,S15,2026-04-115,1,1,0
CS16,S16,2026-05-116,1,1,0
CS17,S17,2026-06-117,1,1,0
CS18,S18,2026-01-118,1,1,0
CS19,S19,2026-02-119,1,1,0
CS20,S20,2026-03-110,1,1,0
CS21,S21,2026-04-111,1,1,0
CS22,S22,2026-05-112,1,1,0
CS23,S23,2026-06-113,1,1,0
CS24,S24,2026-01-114,1,1,0
CS25,S25,2026-02-115,1,1,0
CS26,S26,2026-03-116,1,1,0
CS27,S27,2026-04-117,1,1,0
CS28,S28,2026-05-118,1,1,0
CS29,S29,2026-06-119,1,1,0
CS30,S30,2026-01-110,1,1,0
CS31,S31,2026-02-111,1,1,0
CS32,S32,2026-03-112,1,1,0
CS33,S33,2026-04-113,1,1,0
CS34,S34,2026-05-114,1,1,0
CS35,S35,2026-06-115,1,1,0
CS36,S36,2026-01-116,1,1,0
CS37,S37,2026-02-117,1,1,0
CS38,S38,2026-03-118,1,1,0
CS39,S39,2026-04-119,1,1,0
CS40,S40,2026-05-110,1,1,0
CS41,S41,2026-06-111,1,1,0
CS42,S42,2026-01-112,1,1,0
CS43,S43,2026-02-113,1,1,0
CS44,S44,2026-03-114,1,1,0
CS45,S45,2026-04-115,1,1,0
CS46,S46,2026-05-116,1,1,0
CS47,S47,2026-06-117,1,1,0
CS48,S48,2026-01-118,1,1,0
CS49,S49,2026-02-119,1,1,0
CS50,S50,2026-03-110,1,1,0
CS51,S51,2026-04-111,1,1,0
CS52,S52,2026-05-112,1,1,0
CS53,S53,2026-06-113,1,0,1
CS54,S54,2026-01-114,1,0,1
CS55,S55,2026-02-115,1,0,1
CS56,S56,2026-03-116,1,0,1
CS57,S57,2026-04-117,1,0,1
CS58,S58,2026-05-118,1,0,1
CS59,S59,2026-06-119,1,0,1
CS60,S60,2026-01-110,1,0,1
CS61,S61,2026-02-111,1,0,1
CS62,S62,2026-03-112,1,0,1
CS63,S63,2026-04-113,1,0,1
CS64,S64,2026-05-114,1,0,1
CS65,S65,2026-06-115,1,0,1
CS66,S66,2026-01-116,1,0,1
CS67,S67,2026-02-117,1,0,1
CS68,S68,2026-03-118,1,0,1
CS69,S69,2026-04-119,1,0,1
CS70,S70,2026-05-110,1,0,1
CS71,S71,2026-06-111,1,0,1
CS72,S72,2026-01-112,1,0,1
CS73,S73,2026-02-113,1,0,1
CS74,S74,2026-03-114,1,0,1
CS75,S75,2026-04-115,1,0,1
CS76,S76,2026-05-116,1,0,1
CS77,S77,2026-06-117,1,0,1
CS78,S78,2026-01-118,1,0,1
CS79,S79,2026-02-119,1,0,1
CS80,S80,2026-03-110,1,0,1
CS81,S81,2026-04-111,1,0,1
CS82,S82,2026-05-112,1,0,1
CS83,S83,2026-06-113,1,0,1
CS84,S84,2026-01-114,1,0,1
CS85,S85,2026-02-115,1,0,1
CS86,S86,2026-03-116,1,0,1
CS87,S87,2026-04-117,1,0,1
CS88,S88,2026-05-118,1,0,1
CS89,S89,2026-06-119,1,0,1
CS90,S90,2026-01-110,1,0,1
CS91,S91,2026-02-111,1,0,1
CS92,S92,2026-03-112,1,0,1
CS93,S93,2026-04-113,1,0,1
CS94,S94,2026-05-114,1,0,1
CS95,S95,2026-06-115,1,0,1
CS96,S96,2026-01-116,1,0,1
CS97,S97,2026-02-117,1,0,1
CS98,S98,2026-03-118,1,0,1
CS99,S99,2026-04-119,1,0,0
CS100,S100,2026-05-110,1,0,0
CS101,S101,2026-06-111,1,0,0
CS102,S102,2026-01-112,1,0,0
CS103,S103,2026-02-113,1,0,0
CS104,S104,2026-03-114,1,0,0
CS105,S105,2026-04-115,1,0,0
CS106,S106,2026-05-116,1,0,0
CS107,S107,2026-06-117,1,0,0
CS108,S108,2026-01-118,1,0,0
CS109,S109,2026-02-119,1,0,0
CS110,S110,2026-03-110,1,0,0
CS111,S111,2026-04-111,1,0,0
CS112,S112,2026-05-112,1,0,0
CS113,S113,2026-06-113,1,0,0
CS114,S114,2026-01-114,1,0,0
CS115,S115,2026-02-115,1,0,0
CS116,S116,2026-03-116,1,0,0
CS117,S117,2026-04-117,1,0,0
CS118,S118,2026-05-118,1,0,0
CS119,S119,2026-06-119,1,0,0
CS120,S120,2026-01-110,1,0,0
