student_id,sent_at,delivered,opened,channel
S1,2026-01-02 09:00,1,1,email
S2,2026-01-03 09:00,1,1,sms
S3,2026-01-04 09:00,1,1,email
S4,2026-01-05 09:00,1,1,sms
S5,2026-01-01 09:00,1,1,email
S6,2026-01-02 09:00,1,1,sms
S7,2026-01-03 09:00,1,1,email
S8,2026-01-04 09:00,1,1,sms
S9,2026-01-05 09:00,1,1,email
S10,2026-01-01 09:00,1,1,sms
S11,2026-01-02 09:00,1,1,email
S12,2026-01-03 09:00,1,1,sms
S13,2026-01-04 09:00,1,1,email
S14,2026-01-05 09:00,1,1,sms
S15,2026-01-01 09:00,1,1,email
S16,2026-01-02 09:00,1,1,sms
S17,2026-01-03 09:00,1,1,email
S18,2026-01-04 09:00,1,1,sms
S19,2026-01-05 09:00,1,1,email
S20,2026-01-01 09:00,1,1,sms
S21,2026-01-02 09:00,1,1,email
S22,2026-01-03 09:00,1,1,sms
S23,2026-01-04 09:00,1,1,email
S24,2026-01-05 09:00,1,1,sms
S25,2026-01-01 09:00,1,1,email
S26,2026-01-02 09:00,1,1,sms
S27,2026-01-03 09:00,1,1,email
S28,2026-01-04 09:00,1,1,sms
S29,2026-01-05 09:00,1,1,email
S30,2026-01-01 09:00,1,1,sms
S31,2026-01-02 09:00,1,1,email
S32,2026-01-03 09:00,1,1,sms
S33,2026-01-04 09:00,1,1,email
S34,2026-01-05 09:00,1,1,sms
S35,2026-01-01 09:00,1,1,email
S36,2026-01-02 09:00,1,1,sms
S37,2026-01-03 09:00,1,1,email
S38,2026-01-04 09:00,1,1,sms
S39,2026-01-05 09:00,1,1,email
S40,2026-01-01 09:00,1,1,sms
S41,2026-01-02 09:00,1,1,email
S42,2026-01-03 09:00,1,1,sms
S43,2026-01-04 09:00,1,1,email
S44,2026-01-05 09:00,1,1,sms
S45,2026-01-01 09:00,1,1,email
S46,2026-01-02 09:00,1,1,sms
S47,2026-01-03 09:00,1,1,email
S48,2026-01-04 09:00,1,1,sms
S49,2026-01-05 09:00,1,1,email
S50,2026-01-01 09:00,1,1,sms
S51,2026-01-02 09:00,1,1,email
S52,2026-01-03 09:00,1,1,sms
S53,2026-01-04 09:00,1,1,email
S54,2026-01-05 09:00,1,1,sms
S55,2026-01-01 09:00,1,1,email
S56,2026-01-02 09:00,1,1,sms
S57,2026-01-03 09:00,1,1,email
S58,2026-01-04 09:00,1,1,sms
S59,2026-01-05 09:00,1,1,email
S60,2026-01-01 09:00,1,1,sms
S61,2026-01-02 09:00,1,1,email
S62,2026-01-03 09:00,1,1,sms
S63,2026-01-04 09:00,1,1,email
S64,2026-01-05 09:00,1,1,sms
S65,2026-01-01 09:00,1,1,email
S66,2026-01-02 09:00,1,1,sms
S67,2026-01-03 09:00,1,1,email
S68,2026-01-04 09:00,1,1,sms
S69,2026-01-05 09:00,1,1,email
S70,2026-01-01 09:00,1,1,sms
S71,2026-01-02 09:00,1,1,email
S72,2026-01-03 09:00,1,1,sms
S73,2026-01-04 09:00,1,1,email
S74,2026-01-05 09:00,1,1,sms
S75,2026-01-01 09:00,1,1,email
S76,2026-01-02 09:00,1,1,sms
S77,2026-01-03 09:00,1,1,email
S78,2026-01-04 09:00,1,1,sms
S79,2026-01-05 09:00,1,1,email
S80,2026-01-01 09:00,1,1,sms
S81,2026-01-02 09:00,1,1,email
S82,2026-01-03 09:00,1,1,sms
S83,2026-01-04 09:00,1,1,email
S84,2026-01-05 09:00,1,1,sms
S85,2026-01-01 09:00,1,1,email
S86,2026-01-02 09:00,1,0,sms
S87,2026-01-03 09:00,1,0,email
S88,2026-01-04 09:00,1,0,sms
S89,2026-01-05 09:00,1,0,email
S90,2026-01-01 09:00,1,0,sms
S91,2026-01-02 09:00,1,0,email
S92,2026-01-03 09:00,1,0,sms
S93,2026-01-04 09:00,1,0,email
S94,2026-01-05 09:00,1,0,sms
S95,2026-01-01 09:00,1,0,email
S96,2026-01-02 09:00,1,0,sms
S97,2026-01-03 09:00,1,0,email
S98,2026-01-04 09:00,1,0,sms
S99,2026-01-05 09:00,1,0,email
S100,2026-01-01 09:00,1,0,sms
S101,2026-01-02 09:00,1,0,email
S102,2026-01-03 09:00,1,0,sms
S103,2026-01-04 09:00,1,0,email
S104,2026-01-05 09:00,1,0,sms
S105,2026-01-01 09:00,1,0,email
S106,2026-01-02 09:00,1,0,sms
S107,2026-01-03 09:00,1,0,email
S108,2026-01-04 09:00,1,0,sms
S109,2026-01-05 09:00,1,0,email
S110,2026-01-01 09:00,1,0,sms
S111,2026-01-02 09:00,1,0,email
S112,2026-01-03 09:00,1,0,sms
S113,2026-01-04 09:00,1,0,email
S114,2026-01-05 09:00,1,0,sms
S115,2026-01-01 09:00,1,0,email
S116,2026-01-02 09:00,0,0,sms
S117,2026-01-03 09:00,0,0,email
S118,2026-01-04 09:00,0,0,sms
S119,2026-01-05 09:00,0,0,email
S120,2026-01-01 09:00,0,0,sms
