student_id,week,risk_score
S1,W01,87.8
S1,W02,88.6
S1,W03,87.1
S1,W04,86.4
S1,W05,87.6
S1,W06,88.1
S1,W07,87
S1,W08,86.1
S1,W09,86
S1,W10,85.8
S1,W11,87.6
S1,W12,87.4
S1,W13,86.9
S1,W14,85.7
S1,W15,86.7
S1,W16,85.8
S1,W17,85.1
S1,W18,86.5
S1,W19,85.7
S1,W20,85.2
S1,W21,85.4
S1,W22,83.9
S1,W23,83.5
S1,W24,84.4
S1,W25,84.8
S1,W26,83.8
S2,W01,88.3
S2,W02,88.8
S2,W03,87.7
S2,W04,87.5
S2,W05,86.3
S2,W06,88.3
S2,W07,86.1
S2,W08,87.3
S2,W09,87.3
S2,W10,85.9
S2,W11,85.4
S2,W12,86
S2,W13,85.3
S2,W14,85.5
S2,W15,84.7
S2,W16,84.6
S2,W17,84.8
S2,W18,84.7
S2,W19,84.8
S2,W20,84.4
S2,W21,84.2
S2,W22,84.8
S2,W23,85.3
S2,W24,85
S2,W25,85
S2,W26,84.3
S3,W01,88.4
S3,W02,87.5
S3,W03,88.6
S3,W04,88.7
S3,W05,87.2
S3,W06,87.7
S3,W07,88.1
S3,W08,87.9
S3,W09,86.3
S3,W10,87.2
S3,W11,86.2
S3,W12,86.9
S3,W13,85.2
S3,W14,85.6
S3,W15,85.5
S3,W16,84.7
S3,W17,84.5
S3,W18,84.3
S3,W19,85.6
S3,W20,86
S3,W21,83.8
S3,W22,83.7
S3,W23,84.1
S3,W24,84.2
S3,W25,85
S3,W26,83.1
S4,W01,88.4
S4,W02,89
S4,W03,86.5
S4,W04,88.5
S4,W05,86.3
S4,W06,88.3
S4,W07,87.7
S4,W08,87.1
S4,W09,87.4
S4,W10,85.6
S4,W11,85.9
S4,W12,85.3
S4,W13,86.2
S4,W14,86.2
S4,W15,84.8
S4,W16,86.1
S4,W17,84.4
S4,W18,86.2
S4,W19,85.2
S4,W20,85.4
S4,W21,84.3
S4,W22,85.7
S4,W23,83.5
S4,W24,83.2
S4,W25,83.6
S4,W26,82.9
S5,W01,88.7
S5,W02,88.5
S5,W03,87.7
S5,W04,87.1
S5,W05,86.8
S5,W06,87.9
S5,W07,86.6
S5,W08,86.1
S5,W09,86.6
S5,W10,87.5
S5,W11,85.5
S5,W12,86.1
S5,W13,85.7
S5,W14,86.4
S5,W15,86.6
S5,W16,86.2
S5,W17,86.4
S5,W18,86.2
S5,W19,85
S5,W20,85.9
S5,W21,85
S5,W22,85.2
S5,W23,83.7
S5,W24,83.8
S5,W25,84.1
S5,W26,84.4
S6,W01,87.9
S6,W02,87.4
S6,W03,87
S6,W04,86.8
S6,W05,86.6
S6,W06,88.3
S6,W07,87.2
S6,W08,87.5
S6,W09,86.8
S6,W10,87.3
S6,W11,86.3
S6,W12,87.1
S6,W13,87
S6,W14,86.2
S6,W15,86
S6,W16,85.7
S6,W17,84.8
S6,W18,84.7
S6,W19,84
S6,W20,85.1
S6,W21,84.1
