student_id,grade,program,risk_tier,enrolled
S1,10,science,high,1
S2,11,arts,high,1
S3,12,engineering,high,1
S4,9,science,high,1
S5,10,arts,high,1
S6,11,engineering,high,1
S7,12,science,high,1
S8,9,arts,high,1
S9,10,engineering,high,1
S10,11,science,high,1
S11,12,arts,high,1
S12,9,engineering,high,1
S13,10,science,high,1
S14,11,arts,high,1
S15,12,engineering,high,1
S16,9,science,high,1
S17,10,arts,high,1
S18,11,engineering,high,1
S19,12,science,high,1
S20,9,arts,high,1
S21,10,engineering,high,1
S22,11,science,high,1
S23,12,arts,high,1
S24,9,engineering,high,1
S25,10,science,high,1
S26,11,arts,high,1
S27,12,engineering,high,1
S28,9,science,high,1
S29,10,arts,high,1
S30,11,engineering,high,1
S31,12,science,high,1
S32,9,arts,high,1
S33,10,engineering,high,1
S34,11,science,high,1
S35,12,arts,high,1
S36,9,engineering,high,1
S37,10,science,high,1
S38,11,arts,high,1
S39,12,engineering,high,1
S40,9,science,high,1
S41,10,arts,high,1
S42,11,engineering,high,1
S43,12,science,high,1
S44,9,arts,high,1
S45,10,engineering,high,1
S46,11,science,high,1
S47,12,arts,high,1
S48,9,engineering,high,1
S49,10,science,high,1
S50,11,arts,high,1
S51,12,engineering,high,1
S52,9,science,high,1
S53,10,arts,high,1
S54,11,engineering,high,1
S55,12,science,high,1
S56,9,arts,high,1
S57,10,engineering,high,1
S58,11,science,high,1
S59,12,arts,high,1
S60,9,engineering,high,1
S61,10,science,high,1
S62,11,arts,high,1
S63,12,engineering,high,1
S64,9,science,high,1
S65,10,arts,high,1
S66,11,engineering,high,1
S67,12,science,high,1
S68,9,arts,high,1
S69,10,engineering,high,1
S70,11,science,high,1
S71,12,arts,high,1
S72,9,engineering,high,1
S73,10,science,high,1
S74,11,arts,high,1
S75,12,engineering,high,1
S76,9,science,high,1
S77,10,arts,high,1
S78,11,engineering,high,1
S79,12,science,high,1
S80,9,arts,high,1
S81,10,engineering,high,1
S82,11,science,high,1
S83,12,arts,high,1
S84,9,engineering,high,1
S85,10,science,high,1
S86,11,arts,high,1
S87,12,engineering,high,1
S88,9,science,high,1
S89,10,arts,high,1
S90,11,engineering,high,1
S91,12,science,high,1
S92,9,arts,high,1
S93,10,engineering,high,1
S94,11,science,high,1
S95,12,arts,high,1
S96,9,engineering,high,1
S97,10,science,high,1
S98,11,arts,high,1
S99,12,engineering,high,1
S100,9,science,high,1
S101,10,arts,high,1
S102,11,engineering,high,1
S103,12,science,high,1
S104,9,arts,high,1
S105,10,engineering,high,1
S106,11,science,high,1
S107,12,arts,high,1
S108,9,engineering,high,1
S109,10,science,high,1
S110,11,arts,high,1
S111,12,engineering,high,1
S112,9,science,high,1
S113,10,arts,high,1
S114,11,engineering,high,1
S115,12,science,high,1
S116,9,arts,high,1
S117,10,engineering,high,1
S118,11,science,high,1
S119,12,arts,high,1
S120,9,engineering,high,1
S121,10,science,medium,1
S122,11,arts,medium,1
S123,12,engineering,medium,1
S124,9,science,medium,1
S125,10,arts,medium,1
S126,11,engineering,medium,1
S127,12,science,medium,1
S128,9,arts,medium,1
S129,10,engineering,medium,1
S130,11,science,medium,1
S131,12,arts,medium,1
S132,9,engineering,medium,1
S133,10,science,medium,1
S134,11,arts,medium,1
S135,12,engineering,medium,1
S136,9,science,medium,1
S137,10,arts,medium,1
S138,11,engineering,medium,1
S139,12,science,medium,1
S140,9,arts,medium,1
S141,10,engineering,medium,1
S142,11,science,medium,1
S143,12,arts,medium,1
S144,9,engineering,medium,1
S145,10,science,medium,1
S146,11,arts,medium,1
S147,12,engineering,medium,1
S148,9,science,medium,1
S149,10,arts,medium,1
S150,11,engineering,medium,1
S151,12,science,medium,1
S152,9,arts,medium,1
S153,10,engineering,medium,1
S154,11,science,medium,1
S155,12,arts,medium,1
S156,9,engineering,medium,1
S157,10,science,medium,1
S158,11,arts,medium,1
S159,12,engineering,medium,1
S160,9,science,medium,1
S161,10,arts,medium,1
S162,11,engineering,medium,1
S163,12,science,medium,1
S164,9,arts,medium,1
S165,10,engineering,medium,1
S166,11,science,medium,1
S167,12,arts,medium,1
S168,9,engineering,medium,1
S169,10,science,medium,1
S170,11,arts,medium,1
S171,12,engineering,low,1
S172,9,science,low,1
S173,10,arts,low,1
S174,11,engineering,low,1
S175,12,science,low,1
S176,9,arts,low,1
S177,10,engineering,low,1
S178,11,science,low,1
S179,12,arts,low,1
S180,9,engineering,low,1
S181,10,science,low,1
S182,11,arts,low,1
S183,12,engineering,low,1
S184,9,science,low,1
S185,10,arts,low,1
S186,11,engineering,low,1
S187,12,science,low,1
S188,9,arts,low,1
S189,10,engineering,low,1
S190,11,science,low,1
S191,12,arts,low,1
S192,9,engineering,low,1
S193,10,science,low,1
S194,11,arts,low,1
S195,12,engineering,low,1
S196,9,science,low,1
S197,10,arts,low,1
S198,11,engineering,low,1
S199,12,science,low,1
S200,9,arts,low,1
